Key,English,Vietnamese,Japanese,Korean,Chinese,Spanish,Portuguese,Italian,German,French,Russian
Main.OrganizeLife,Organize Life,Tổ chức cuộc sống,人生を整理する,삶 정리하기,组织生活,Organiza la Vida,Organize a Vida,Organizza la Vita,Leben Organisieren,Organiser la Vie,Организуй Жизнь
Main.ASMR,ASMR,Thư giãn,ASMR,ASMR,ASMR,ASMR,ASMR,ASMR,ASMR,ASMR,ASMR
Main.MenWomen,Men & Women,Đàn ông và Phụ nữ,男性と女性,남성과 여성,男性与女性,Hombres y Mujeres,Homens e Mulheres,Uomini e Donne,Männer & Frauen,Hommes et Femmes,Мужчины и Женщины
Main.YummyFoods,Yummy Foods,Đồ ăn ngon,美味しい食べ物,맛있는 음식,美味食物,Comidas Deliciosas,Comidas Deliciosas,Cibi Deliziosi,Leckere Speisen,Nourritures Délicieuses,Вкусная Еда
Main.LevelSelection,Select Level,Lựa chọn màn chơi,レベルを選択,레벨 선택,选择关卡,Seleccionar Nivel,Selecionar Nível,Seleziona Livello,Level Auswählen,Sélectionner le Niveau,Выбрать Уровень
Main.DecompressionAdvice,Hint,Gợi ý,ヒント,힌트,提示,Pista,Dica,Suggerimento,Hinweis,Indice,Подсказка
Main.Sure,Sure,Chắc chắn,はい,네,确定,Seguro,Claro,Certo,Sicher,Bien sûr,Конечно
Main.Replay,Replay,Chơi lại,再プレイ,다시 플레이,重玩,Repetir,Repetir,Rigioca,Erneut Spielen,Rejouer,Повторить
Main.Settings,Settings,Cài đặt,設定,설정,设置,Configuración,Configurações,Impostazioni,Einstellungen,Paramètres,Настройки
Main.Music,Music,Âm nhạc,音楽,음악,音乐,Música,Música,Musica,Musik,Musique,Музыка
Main.SoundEffects,Sound effects,Hiệu ứng âm thanh,効果音,효과음,音效,Efectos de Sonido,Efeitos Sonoros,Effetti Sonori,Soundeffekte,Effets Sonores,Звуковые Эффекты
Main.Continues,Continue,Tiếp tục,続ける,계속하기,继续,Continuar,Continuar,Continua,Fortfahren,Continuer,Продолжить
STRING_PAYMENT_PROCESSING,Payment Processing,Đang xử lý thanh toán,支払い処理中,결제 처리 중,正在处理支付,Procesando Pago,Processando Pagamento,Elaborazione del Pagamento,Zahlungsabwicklung,Traitement du Paiement,Обработка Платежа
STRING_REMOVE_ADS_SUCCESSFULLY,Remove Ads successful,Xóa quảng cáo thành công,広告の削除に成功しました,광고 제거 성공,广告成功移除,Anuncios Eliminados con Éxito,Anúncios Removidos com Sucesso,Annunci Rimossi con Successo,Werbung Erfolgreich Entfernt,Publicités Supprimées avec Succès,Реклама Удалена Успешно
STRING_REMOVE_TIMER_SUCCESSFULLY,Time limit removed successfully,Xóa giới hạn thời gian thành công,タイムリミットが正常に解除されました,시간 제한이 성공적으로 해제되었습니다,时间限制已成功移除,Límite de tiempo eliminado con éxito,Limite de tempo removido com sucesso,Limite di tempo rimosso con successo,Zeitlimit erfolgreich entfernt,Limite de temps supprimée avec succès,Лимит времени успешно удален
STRING_PAYMENT_NOT_SUCCESSFUL,Payment is not successful,Thanh toán thất  bại,支払いに失敗しました,결제에 실패했습니다,支付失败,El Pago No Fue Exitoso,Pagamento Não Foi Bem-Sucedido,Pagamento Non Riuscito,Zahlung War Nicht Erfolgreich,Le Paiement a Échoué,Платеж Не Удался
STRING_REMOVE_ADS_POPUP_CONTENT,Remove all ads except rewarding videos,Xóa tất cả quảng cáo ngoại trừ video tặng thưởng,報酬付き動画を除くすべての広告を削除,보상 동영상을 제외한 모든 광고 제거,移除所有广告，除非是奖励视频,Eliminar todos los anuncios excepto los videos de recompensa,"Remover todos os anúncios, exceto vídeos de recompensa",Rimuovi tutti gli annunci tranne i video di ricompensa,Alle Anzeigen außer Belohnungsvideos entfernen,Supprimer toutes les publicités sauf les vidéos de récompense,"Удалить все рекламные объявления, кроме видео с наградами"
STRING_REMOVE_TIMER_POPUP_CONTENT,"Remove time limits at all levels, freely conquer all challenges","Loại bỏ giới hạn thời gian ở tất cả các màn chơi, tự do chinh phục mọi thử thách.",全てのレベルで時間制限を解除し、自由にすべてのチャレンジを克服してください,"모든 레벨에서 시간 제한을 제거하고, 자유롭게 모든 도전을 정복하세요",取消所有级别的时间限制，自由征服所有挑战,Elimina los límites de tiempo en todos los niveles y conquista libremente todos los desafíos,Remova os limites de tempo em todos os níveis e conquiste livremente todos os desafios,Rimuovi i limiti di tempo in tutti i livelli e conquista liberamente tutte le sfide,Entferne die Zeitlimits in allen Levels und erobere frei alle Herausforderungen,Supprimez les limites de temps à tous les niveaux et conquérez librement tous les défis,Уберите временные ограничения на всех уровнях и свободно преодолевайте все вызовы
STRING_NO_ADS,No Ads,Không quảng cáo,広告なし,광고 없음,无广告,Sin Anuncios,Sem Anúncios,Nessun Annuncio,Keine Werbung,Pas de Publicités,Без Рекламы
STRING_NOTICE,Notice,Thông báo,お知らせ,공지,通知,Aviso,Aviso,Avviso,Hinweis,Avis,Уведомление
STRING_AD_IS_NOT_READY,Ad is not ready,Quảng cáo chưa sẵn sàng,広告が準備できていません,광고 준비 완료되지 않았습니다,广告尚未准备好,El Anuncio No Está Listo,O Anúncio Não Está Pronto,Annuncio Non Disponibile,Anzeige ist nicht bereit,La Publicité n'est Pas Prête,Реклама Не Готова
STRING_AD_POPUP_ENJOY,ENJOY THE SATISROOM,TẬN HƯỞNG SATISROOM,SATISROOMをお楽しみください,SATISROOM을 즐기세요,享受 SATISROOM,DISFRUTA DE SATISROOM,APROVEITE O SATISROOM,GODITI IL SATISROOM,VIEL SPAß IM SATISROOM,PROFITEZ DU SATISROOM,НАСЛАДИТЕСЬ SATISROOM
STRING_AD_POPUP_ENJOY_SATISCREAM,ENJOY THE SATISCREAM,TẬN HƯỞNG SATISCREAM,SATISCREAMをお楽しみください,SATISCREAM을 즐기세요,享受 SATISCREAM,DISFRUTA DE SATISCREAM,APROVEITE O SATISCREAM,GODITI IL SATISCREAM,VIEL SPAß IM SATISCREAM,PROFITEZ DU SATISCREAM,НАСЛАДИТЕСЬ SATISCREAM
STRING_AD_POPUP_REMOVE_ADS_BETWEEN_LEVEL,Remove ads between level,Xóa quảng cáo giữa các màn chơi,レベル間の広告を削除,레벨 간 광고 제거,移除关卡之间的广告,Eliminar anuncios entre niveles,Remover anúncios entre os níveis,Rimuovi gli annunci tra i livelli,Werbung zwischen Levels entfernen,Supprimer les publicités entre les niveaux,Удалить рекламу между уровнями
STRING_AD_POPUP_REMOVE_BOTTOM_BANNER_ADS,Remove bottom banner ads,Xóa quảng cáo biểu ngữ dưới cùng,下部バナー広告を削除,하단 배너 광고 제거,移除底部横幅广告,Eliminar anuncios en el banner inferior,Remover anúncios de banner inferior,Rimuovi gli annunci nella parte inferiore,Bannerwerbung am unteren Rand entfernen,Supprimer les publicités en bas de l'écran,Удалить баннерную рекламу внизу
